     time (s)       traj1:dt1e-7     traj2:dt1e-7     traj3:dt1e-8    traj4:dt1e-8
   2.8800000e-04   3.9969657e+02   3.8391018e+02   3.9281447e+02   4.0422756e+02
   2.9000000e-04   3.9969657e+02   3.8300898e+02   3.9092138e+02   4.0422756e+02
   2.9200000e-04   3.9773246e+02   3.8210778e+02   3.8997484e+02   4.0422756e+02
   2.9400000e-04   3.9380424e+02   3.8030539e+02   3.8713522e+02   4.0422756e+02
   2.9600000e-04   3.9184013e+02   3.8030539e+02   3.8524214e+02   4.0326282e+02
   2.9800000e-04   3.9085808e+02   3.7850299e+02   3.8524214e+02   4.0326282e+02
   3.0000000e-04   3.8987602e+02   3.7760180e+02   3.8429560e+02   4.0229808e+02
   3.0200000e-04   3.8889396e+02   3.7489820e+02   3.8334906e+02   4.0036859e+02
   3.0400000e-04   3.8496574e+02   3.7399701e+02   3.8334906e+02   3.9940385e+02
   3.0600000e-04   3.8496574e+02   3.7129341e+02   3.8145597e+02   3.9747436e+02
   3.0800000e-04   3.8300163e+02   3.7039222e+02   3.7956289e+02   3.9650962e+02
   3.1000000e-04   3.8201958e+02   3.7039222e+02   3.7956289e+02   3.9650962e+02
   3.1200000e-04   3.8103752e+02   3.6858982e+02   3.7766981e+02   3.9554487e+02
   3.1400000e-04   3.8103752e+02   3.6768862e+02   3.7483019e+02   3.9554487e+02
   3.1600000e-04   3.8005546e+02   3.6678743e+02   3.7388365e+02   3.9554487e+02
   3.1800000e-04   3.8005546e+02   3.6318263e+02   3.7388365e+02   3.9361538e+02
   3.2000000e-04   3.7907341e+02   3.6318263e+02   3.7199057e+02   3.9361538e+02
   3.2200000e-04   3.7907341e+02   3.6318263e+02   3.7104403e+02   3.9265064e+02
   3.2400000e-04   3.7809135e+02   3.6318263e+02   3.7104403e+02   3.9168590e+02
   3.2600000e-04   3.7809135e+02   3.6318263e+02   3.7104403e+02   3.9168590e+02
   3.2800000e-04   3.7710930e+02   3.6228144e+02   3.7104403e+02   3.9072115e+02
   3.3000000e-04   3.7416313e+02   3.6138024e+02   3.7009748e+02   3.8879167e+02
   3.3200000e-04   3.7318108e+02   3.6138024e+02   3.7009748e+02   3.8493269e+02
   3.3400000e-04   3.7121697e+02   3.6047904e+02   3.7104403e+02   3.8493269e+02
   3.3600000e-04   3.7121697e+02   3.6047904e+02   3.7009748e+02   3.8493269e+02
   3.3800000e-04   3.6925285e+02   3.5957784e+02   3.7009748e+02   3.8493269e+02
   3.4000000e-04   3.6827080e+02   3.5867665e+02   3.7009748e+02   3.8493269e+02
   3.4200000e-04   3.6728874e+02   3.5867665e+02   3.6915094e+02   3.8300321e+02
   3.4400000e-04   3.6630669e+02   3.5777545e+02   3.6820440e+02   3.8203846e+02
   3.4600000e-04   3.6630669e+02   3.5777545e+02   3.6725786e+02   3.7817949e+02
   3.4800000e-04   3.6532463e+02   3.5687425e+02   3.6725786e+02   3.7721474e+02
   3.5000000e-04   3.6336052e+02   3.5687425e+02   3.6631132e+02   3.7528526e+02
   3.5200000e-04   3.6237847e+02   3.5687425e+02   3.6536478e+02   3.7528526e+02
   3.5400000e-04   3.6041436e+02   3.5597305e+02   3.6536478e+02   3.7528526e+02
   3.5600000e-04   3.5943230e+02   3.5507186e+02   3.6536478e+02   3.7528526e+02
   3.5800000e-04   3.5845024e+02   3.5417066e+02   3.6347170e+02   3.7432051e+02
   3.6000000e-04   3.5746819e+02   3.5417066e+02   3.6252516e+02   3.7432051e+02
