	time (s)    traj1		traj2		traj3		traj4		traj5
   4.7000000e-06   5.8800000e+02   5.9400000e+02   5.8900000e+02   5.9000000e+02   5.9100000e+02
   4.8000000e-06   5.8800000e+02   5.9300000e+02   5.8900000e+02   5.9000000e+02   5.9100000e+02
   4.9000000e-06   5.8800000e+02   5.9300000e+02   5.8900000e+02   5.9000000e+02   5.9100000e+02
   5.0000000e-06   5.8800000e+02   5.9300000e+02   5.8900000e+02   5.9000000e+02   5.9100000e+02
   5.1000000e-06   5.8800000e+02   5.9300000e+02   5.8900000e+02   5.9000000e+02   5.8900000e+02
   5.2000000e-06   5.8700000e+02   5.9300000e+02   5.8900000e+02   5.9000000e+02   5.8900000e+02
   5.3000000e-06   5.8600000e+02   5.9300000e+02   5.8800000e+02   5.9000000e+02   5.8900000e+02
   5.4000000e-06   5.8600000e+02   5.9300000e+02   5.8800000e+02   5.8900000e+02   5.8900000e+02
   5.5000000e-06   5.8500000e+02   5.9300000e+02   5.8600000e+02   5.8800000e+02   5.8900000e+02
   5.6000000e-06   5.8500000e+02   5.9300000e+02   5.8600000e+02   5.8700000e+02   5.8900000e+02
   5.7000000e-06   5.8500000e+02   5.9300000e+02   5.8600000e+02   5.8700000e+02   5.8900000e+02
   5.8000000e-06   5.8400000e+02   5.9200000e+02   5.8600000e+02   5.8700000e+02   5.8900000e+02
   5.9000000e-06   5.8400000e+02   5.9200000e+02   5.8600000e+02   5.8700000e+02   5.8800000e+02
   6.0000000e-06   5.8400000e+02   5.9200000e+02   5.8500000e+02   5.8700000e+02   5.8800000e+02
   6.1000000e-06   5.8400000e+02   5.9200000e+02   5.8500000e+02   5.8700000e+02   5.8800000e+02
   6.2000000e-06   5.8400000e+02   5.9200000e+02   5.8500000e+02   5.8700000e+02   5.8800000e+02
   6.3000000e-06   5.8400000e+02   5.9100000e+02   5.8500000e+02   5.8700000e+02   5.8800000e+02
   6.4000000e-06   5.8400000e+02   5.9100000e+02   5.8500000e+02   5.8700000e+02   5.8800000e+02
   6.5000000e-06   5.8300000e+02   5.9100000e+02   5.8500000e+02   5.8700000e+02   5.8800000e+02
   6.6000000e-06   5.8200000e+02   5.9100000e+02   5.8500000e+02   5.8700000e+02   5.8800000e+02
   6.7000000e-06   5.8200000e+02   5.9000000e+02   5.8500000e+02   5.8600000e+02   5.8800000e+02
   6.8000000e-06   5.8200000e+02   5.9000000e+02   5.8500000e+02   5.8600000e+02   5.8800000e+02
   6.9000000e-06   5.8200000e+02   5.8900000e+02   5.8500000e+02   5.8600000e+02   5.8800000e+02
   7.0000000e-06   5.8200000e+02   5.8900000e+02   5.8500000e+02   5.8600000e+02   5.8800000e+02
   7.1000000e-06   5.8200000e+02   5.8900000e+02   5.8500000e+02   5.8600000e+02   5.8800000e+02
   7.2000000e-06   5.8200000e+02   5.8900000e+02   5.8500000e+02   5.8600000e+02   5.8800000e+02
   7.3000000e-06   5.8200000e+02   5.8900000e+02   5.8500000e+02   5.8600000e+02   5.8800000e+02
   7.4000000e-06   5.8200000e+02   5.8900000e+02   5.8500000e+02   5.8500000e+02   5.8800000e+02
   7.5000000e-06   5.8200000e+02   5.8900000e+02   5.8500000e+02   5.8500000e+02   5.8800000e+02
   7.6000000e-06   5.8200000e+02   5.8800000e+02   5.8400000e+02   5.8500000e+02   5.8700000e+02
   7.7000000e-06   5.8200000e+02   5.8800000e+02   5.8400000e+02   5.8500000e+02   5.8600000e+02
   7.8000000e-06   5.8100000e+02   5.8700000e+02   5.8400000e+02   5.8500000e+02   5.8600000e+02
   7.9000000e-06   5.8100000e+02   5.8600000e+02   5.8400000e+02   5.8500000e+02   5.8500000e+02
