time (s)        Na         STDEV
   1.3350000e-07   8.7620253e+01   3.2553853e+00
   1.3400000e-07   8.7531646e+01   3.3121201e+00
   1.3450000e-07   8.7506329e+01   3.2967483e+00
   1.3500000e-07   8.7493671e+01   3.2967483e+00
   1.3550000e-07   8.7443038e+01   3.3079036e+00
   1.3600000e-07   8.7443038e+01   3.3079036e+00
   1.3650000e-07   8.7405063e+01   3.3147649e+00
   1.3700000e-07   8.7379747e+01   3.3216608e+00
   1.3750000e-07   8.7354430e+01   3.3321971e+00
   1.3800000e-07   8.7316456e+01   3.3071186e+00
   1.3850000e-07   8.7265823e+01   3.3577651e+00
   1.3900000e-07   8.7227848e+01   3.3739172e+00
   1.3950000e-07   8.7189873e+01   3.3667909e+00
   1.4000000e-07   8.7139241e+01   3.3654892e+00
   1.4050000e-07   8.7113924e+01   3.3778591e+00
   1.4100000e-07   8.7101266e+01   3.3687666e+00
   1.4150000e-07   8.7075949e+01   3.3656338e+00
   1.4200000e-07   8.7025316e+01   3.3816044e+00
   1.4250000e-07   8.7025316e+01   3.3816044e+00
   1.4300000e-07   8.7000000e+01   3.3892742e+00
   1.4350000e-07   8.6949367e+01   3.4152701e+00
   1.4400000e-07   8.6924051e+01   3.3997442e+00
   1.4450000e-07   8.6886076e+01   3.4118472e+00
   1.4500000e-07   8.6835443e+01   3.3719445e+00
   1.4550000e-07   8.6810127e+01   3.3667909e+00
   1.4600000e-07   8.6759494e+01   3.3749271e+00
   1.4650000e-07   8.6708861e+01   3.4237178e+00
   1.4700000e-07   8.6683544e+01   3.4475718e+00
   1.4750000e-07   8.6607595e+01   3.4693446e+00
   1.4800000e-07   8.6582278e+01   3.4329011e+00
   1.4850000e-07   8.6556962e+01   3.4109433e+00
   1.4900000e-07   8.6531646e+01   3.4112763e+00
   1.4950000e-07   8.6493671e+01   3.4001260e+00
   1.5000000e-07   8.6417722e+01   3.4552361e+00
   1.5050000e-07   8.6405063e+01   3.4437568e+00
   1.5100000e-07   8.6354430e+01   3.4494071e+00
   1.5150000e-07   8.6341772e+01   3.4451232e+00
   1.5200000e-07   8.6316456e+01   3.4735052e+00
   1.5250000e-07   8.6316456e+01   3.4735052e+00
   1.5300000e-07   8.6291139e+01   3.4535448e+00
   1.5350000e-07   8.6291139e+01   3.4535448e+00
   1.5400000e-07   8.6240506e+01   3.4870279e+00
   1.5450000e-07   8.6215190e+01   3.4997102e+00
   1.5500000e-07   8.6177215e+01   3.4779875e+00
   1.5550000e-07   8.6126582e+01   3.4985971e+00
   1.5600000e-07   8.6101266e+01   3.5249839e+00
   1.5650000e-07   8.6000000e+01   3.5841532e+00
   1.5700000e-07   8.5987342e+01   3.5715890e+00
   1.5750000e-07   8.5962025e+01   3.5893112e+00
   1.5800000e-07   8.5898734e+01   3.6289256e+00
   1.5850000e-07   8.5860759e+01   3.6152603e+00
   1.5900000e-07   8.5860759e+01   3.6152603e+00
   1.5950000e-07   8.5835443e+01   3.6177284e+00
   1.6000000e-07   8.5759494e+01   3.6311162e+00
   1.6050000e-07   8.5708861e+01   3.6238239e+00
   1.6100000e-07   8.5658228e+01   3.6651025e+00
   1.6150000e-07   8.5620253e+01   3.6770382e+00
   1.6200000e-07   8.5594937e+01   3.6951770e+00
   1.6250000e-07   8.5518987e+01   3.7718959e+00
   1.6300000e-07   8.5493671e+01   3.7922776e+00
   1.6350000e-07   8.5481013e+01   3.7989903e+00
   1.6400000e-07   8.5481013e+01   3.7989903e+00
   1.6450000e-07   8.5455696e+01   3.8156139e+00
   1.6500000e-07   8.5405063e+01   3.8314454e+00
   1.6550000e-07   8.5354430e+01   3.8096974e+00
   1.6600000e-07   8.5329114e+01   3.8018940e+00
   1.6650000e-07   8.5316456e+01   3.7945450e+00
   1.6700000e-07   8.5291139e+01   3.8335626e+00
   1.6750000e-07   8.5278481e+01   3.8194398e+00
   1.6800000e-07   8.5253165e+01   3.8178674e+00
   1.6850000e-07   8.5240506e+01   3.8102937e+00
   1.6900000e-07   8.5215190e+01   3.8050940e+00
   1.6950000e-07   8.5164557e+01   3.8411750e+00
   1.7000000e-07   8.5164557e+01   3.8411750e+00
   1.7050000e-07   8.5113924e+01   3.8162518e+00
   1.7100000e-07   8.5075949e+01   3.8121673e+00
   1.7150000e-07   8.5012658e+01   3.8280130e+00
   1.7200000e-07   8.4974684e+01   3.8396537e+00
   1.7250000e-07   8.4898734e+01   3.8115712e+00
   1.7300000e-07   8.4886076e+01   3.8128909e+00
   1.7350000e-07   8.4886076e+01   3.8128909e+00
   1.7400000e-07   8.4810127e+01   3.8098252e+00
   1.7450000e-07   8.4759494e+01   3.7628930e+00
   1.7500000e-07   8.4734177e+01   3.7406597e+00
   1.7550000e-07   8.4696203e+01   3.7497160e+00
   1.7600000e-07   8.4620253e+01   3.7426982e+00
   1.7650000e-07   8.4594937e+01   3.7605202e+00
   1.7700000e-07   8.4569620e+01   3.7610812e+00
   1.7750000e-07   8.4531646e+01   3.7955286e+00
   1.7800000e-07   8.4506329e+01   3.7888954e+00
   1.7850000e-07   8.4506329e+01   3.7888954e+00
   1.7900000e-07   8.4468354e+01   3.7410935e+00
   1.7950000e-07   8.4392405e+01   3.7737886e+00
   1.8000000e-07   8.4367089e+01   3.7797613e+00
   1.8050000e-07   8.4354430e+01   3.7690983e+00
   1.8100000e-07   8.4341772e+01   3.7617715e+00
   1.8150000e-07   8.4303797e+01   3.8107622e+00
   1.8200000e-07   8.4278481e+01   3.7958706e+00
   1.8250000e-07   8.4253165e+01   3.8044116e+00
   1.8300000e-07   8.4215190e+01   3.8084619e+00
   1.8350000e-07   8.4139241e+01   3.8521861e+00
   1.8400000e-07   8.4101266e+01   3.8550498e+00
   1.8450000e-07   8.4050633e+01   3.8460727e+00
   1.8500000e-07   8.4012658e+01   3.8646779e+00
   1.8550000e-07   8.4000000e+01   3.8597197e+00
   1.8600000e-07   8.3962025e+01   3.8578692e+00
   1.8650000e-07   8.3898734e+01   3.8383855e+00
   1.8700000e-07   8.3873418e+01   3.8342822e+00
   1.8750000e-07   8.3822785e+01   3.8688748e+00
   1.8800000e-07   8.3822785e+01   3.8688748e+00
   1.8850000e-07   8.3772152e+01   3.8695039e+00
   1.8900000e-07   8.3746835e+01   3.8645939e+00
   1.8950000e-07   8.3721519e+01   3.8595094e+00
   1.9000000e-07   8.3696203e+01   3.8542498e+00
   1.9050000e-07   8.3670886e+01   3.8554707e+00
   1.9100000e-07   8.3658228e+01   3.8526916e+00
   1.9150000e-07   8.3607595e+01   3.8478023e+00
   1.9200000e-07   8.3531646e+01   3.8658115e+00
   1.9250000e-07   8.3468354e+01   3.8691265e+00
   1.9300000e-07   8.3455696e+01   3.8822326e+00
   1.9350000e-07   8.3417722e+01   3.8417664e+00
   1.9400000e-07   8.3392405e+01   3.8109751e+00
   1.9450000e-07   8.3341772e+01   3.8058190e+00
   1.9500000e-07   8.3316456e+01   3.7979222e+00
   1.9550000e-07   8.3291139e+01   3.7965973e+00
   1.9600000e-07   8.3253165e+01   3.8446378e+00
   1.9650000e-07   8.3227848e+01   3.8562283e+00
   1.9700000e-07   8.3227848e+01   3.8562283e+00
   1.9750000e-07   8.3215190e+01   3.8553023e+00
   1.9800000e-07   8.3189873e+01   3.8632919e+00
   1.9850000e-07   8.3113924e+01   3.9320750e+00
   1.9900000e-07   8.3075949e+01   3.9313733e+00
   1.9950000e-07   8.3063291e+01   3.9234397e+00
   2.0000000e-07   8.3025316e+01   3.9385494e+00
   2.0050000e-07   8.3025316e+01   3.9385494e+00
   2.0100000e-07   8.2974684e+01   3.9450543e+00
   2.0150000e-07   8.2949367e+01   3.9674921e+00
   2.0200000e-07   8.2898734e+01   3.9405679e+00
   2.0250000e-07   8.2886076e+01   3.9320750e+00
