"Model: 'ARClock_withLocalization::slowdunequal PDE R1um, Gene in R<0.1, D=0'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation: 'Simulation19' (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(SimID_1128574074_0_ (PDE Simulation)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sim time range (0.0 100.0) (saved timepoints 101),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of variables (46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable names,A,C,mRNA_A_,mRNA_R,PrmA,PrmA_bound,PrmR,PrmR_bound,R,vcRegionVolume,vcRegionArea,vcRegionVolume_cell,vcRegionVolume_extracellular,J_A_decay,J_A_trnscr,J_A_trnsl,J_active_A_trnscr,J_active_R_trnsc,J_AR_binding,J_C_decay,J_mRNA_A_decay,J_mRNA_R_decay,J_PrmA_activation,J_PrmR_activation,J_R_decay,J_R_trnsc,J_R_trnsl,Kf_A_decay,Kf_A_trnscr,Kf_A_trnsl,Kf_active_A_trnscr,Kf_active_R_trnsc,Kf_AR_binding,Kf_C_decay,Kf_PrmA_activation,Kf_PrmR_activation,Kf_R_trnsc,Kf_R_trnsl,PrmA_init_uM,PrmR_init_uM,Size_cell,Size_EC,Size_PM,sobj_cell1_extracellular0_size,vobj_cell1_size,vobj_extracellular0_size
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('A') times (0.0 100.0) (roi=('vl5') coord=(X=1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,0,0,2.42E-04,2.43E-04,2.47E-04,2.55E-04,2.69E-04,2.91E-04,3.26E-04,3.88E-04,5.01E-04,7.28E-04,0.001141322,0.001018815,6.34E-04,4.49E-04,3.60E-04,3.13E-04,2.85E-04,2.69E-04,2.59E-04,2.55E-04,2.53E-04,0,0,,0.001141322,0.000241626,0.000415569,,4.723515551,,,,,,,,,,,,,,
,37,0,0,2.95E-04,2.97E-04,3.01E-04,3.11E-04,3.28E-04,3.55E-04,3.99E-04,4.73E-04,6.10E-04,8.76E-04,0.001340891,0.001201129,7.64E-04,5.47E-04,4.40E-04,3.82E-04,3.48E-04,3.28E-04,3.17E-04,3.12E-04,3.09E-04,0,0,,0.001340891,0.000294736,0.000501561,,4.549467752,,,,,,,,,,,,,,
,38,0,0,3.63E-04,3.66E-04,3.72E-04,3.84E-04,4.04E-04,4.38E-04,4.92E-04,5.84E-04,7.49E-04,0.001061779,0.001585389,0.001425977,9.30E-04,6.73E-04,5.43E-04,4.72E-04,4.30E-04,4.05E-04,3.91E-04,3.84E-04,3.81E-04,0,0,,0.001585389,0.000363349,0.0006111,,4.363271353,,,,,,,,,,,,,,
,39,0,0,4.52E-04,4.56E-04,4.62E-04,4.78E-04,5.04E-04,5.45E-04,6.13E-04,7.26E-04,9.27E-04,0.001294994,0.001884369,0.001702841,0.001139028,8.34E-04,6.76E-04,5.88E-04,5.36E-04,5.05E-04,4.87E-04,4.79E-04,4.75E-04,0,0,,0.001884369,0.00045204,0.000750634,,4.168592788,,,,,,,,,,,,,,
,40,0,0,5.68E-04,5.72E-04,5.81E-04,6.00E-04,6.33E-04,6.86E-04,7.71E-04,9.12E-04,0.001155881,0.001589228,0.00225242,0.002046057,0.001404952,0.001043737,8.50E-04,7.40E-04,6.74E-04,6.35E-04,6.12E-04,6.02E-04,5.97E-04,0,0,,0.00225242,0.000567604,0.00092975,,3.968293034,,,,,,,,,,,,,,
,41,0,0,7.20E-04,7.26E-04,7.38E-04,7.62E-04,8.04E-04,8.72E-04,9.80E-04,0.001156191,0.001454398,0.001965231,0.002712116,0.002477689,0.001747578,0.001318207,0.00107989,9.42E-04,8.58E-04,8.08E-04,7.79E-04,7.66E-04,7.59E-04,0,0,,0.002712116,0.000720455,0.001163129,,3.764447933,,,,,,,,,,,,,,
,42,0,0,9.28E-04,9.35E-04,9.50E-04,9.82E-04,0.001037399,0.001125183,0.001263744,0.001486104,0.001852438,0.00245689,0.003300704,0.003034013,0.002199421,0.001686652,0.001391631,0.001216213,0.001108902,0.001043361,0.001005662,9.88E-04,9.80E-04,0,0,,0.003300704,0.000927679,0.001474852,,3.558023658,,,,,,,,,,,,,,
,43,0,0,0.001220695,0.001230738,0.001250823,0.001294114,0.001367591,0.001483875,0.001665021,0.001949756,0.002404866,0.003126414,0.004086863,0.003781806,0.002820126,0.002201836,0.001832137,0.001606119,0.001465334,0.001378401,0.001328086,0.001305037,0.001293513,0,0,,0.004086863,0.001220695,0.001909198,,3.34798047,,,,,,,,,,,,,,
,44,0,0,0.00166933,0.001683434,0.00171164,0.001772219,0.001874347,0.002034194,0.00227896,0.002654084,0.003233147,0.004111744,0.005222778,0.004869025,0.003741961,0.00298078,0.002505826,0.002205948,0.002014942,0.00189528,0.001825414,0.001793261,0.001777184,0,0,,0.005222778,0.00166933,0.002564548,,3.128666636,,,,,,,,,,,,,,
,45,0,0,0.002491815,0.002513622,0.002557237,0.002650349,0.002805663,0.003044758,0.003402122,0.003931758,0.004714262,0.005839665,0.007175835,0.006750961,0.005375073,0.004387756,0.003738788,0.003311971,0.003031887,0.002852779,0.002746822,0.002697706,0.002673149,0,0,,0.007175835,0.002491815,0.003747332,,2.879762485,,,,,,,,,,,,,,
,46,0,0,0.005147523,0.005194951,0.005289807,0.005489675,0.00581567,0.006301202,0.006994699,0.007963157,0.009290834,0.011033796,0.012863437,0.012287541,0.010358006,0.008802904,0.007686513,0.006899404,0.006354805,0.005992891,0.005773181,0.005669822,0.005618142,0,0,,0.012863437,0.005147523,0.007467998,,2.498956487,,,,,,,,,,,,,,
